Конногвардейский бульвар 19-21;2018-04-23;60235822
Конногвардейский бульвар 1-17;2018-04-23;60235822
Сенатская пл. 3;2018-04-23;60237358
Сенатская пл. 1;2018-04-23;60237358
Декабристов ул. 29;2018-05-07;
Декабристов ул. 27;2018-05-07;60275637
Декабристов ул. 17-25;2018-05-07;60276323
Декабристов ул. 9-15;2018-05-07;60276323
Декабристов ул. 1-7;2018-05-07;60276675
Вознесенский пр. 9;2018-05-07;60277343
Вознесенский пр. 3-7;2018-05-07;60277343
Исаакиевская пл. 13;2018-05-07;60280063
Исаакиевская пл. 9-11;2018-05-07;60280063
Мал. Морская ул. 12-24;2018-05-07;60360280
Фонтанки наб. 81-91;2018-05-07;60480137
Фонтанки наб. 93-109;2018-05-07;60480137
Обуховская пл. вост;2018-05-07;60480137
Фонтанки наб. 112-120;2018-05-08;60577594
Московский пр. 17-21;2018-05-08;60581839
