Английский пр. 42-50; восточная сторона между Грибоедова и Канонерской
Английский пр. 52; восточная сторона между Тургенева и Лабутина
Декабристов ул. 54-58; южная сторона между Мастерской и Английским
Декабристов ул. 60-64; южная сторона между Английским и Пряжкой
Дерптский пер. 1-5; западная сторона между Фонтанкой и Рижским
Дерптский пер. 2; восточная сторона между Фонтанкой и Рижским
Дерптский пер. 7-15; западная сторона между Рижским и Курляндской
Курляндская ул. 11; северная сторона между Дерптским и Циолковского
Курляндская ул. 16-38; южная сторона между Циолковского и Старо-Петергофским
Лермонтовский пр. 1-5; западная сторона между Декабристов и Союза Печатников, кроме "Дома Быта" в доме 1
Лермонтовский пр. 7-9; западная сторона между Союза Печатников и Римского-Корсакова, кроме БЦ в доме 7
Либавский пер. чет.; восточная сторона между Фонтанкой и Рижским
Лоцманская ул. 2-8; северо-восточная сторона между Пряжкой и Витебской
Лоцманская ул. 10-16; северо-восточная сторона между Витебской и Псковской, кроме "корабелки"
Лоцманская ул. 18-20; северо-восточная сторона между Псковской и Репина
Мастерская ул. 2-8; восточная сторона между Декабристов и Союза Печатников
Обводного наб. 219-231; северная сторона между Старо-Петергофским и Степана Разина
Пряжки наб. 32-34; южная сторона между Дровяным и Володи Ермака
Пряжки наб. 36-52; южная сторона между Володи Ермака и Мясной
Пряжки наб. 54-66; южная сторона между Мясной и Лоцманской
Рижский пр. 15-21; северная сторона между Дерптским и Циолковского
Рижский пр. 23-31; северная сторона между Циолковского и Старо-Петергофским
Союза Печатников ул. 11-21; северная сторона между Лермонтовским и Мастерской
Старо-Петергофский пр. 6; восточная сторона между Рижским и Курляндской
Старо-Петергофский пр. 8-14; восточная сторона между Курляндской и Обводным
Старо-Петергофский пр. 21-23; западная сторона между Курляндской и Обводным
Степана Разина ул. 6; восточная сторона между Рижским и Курляндской
Степана Разина ул. 8; восточная сторона между Курляндской и Обводным
Фонтанки наб. 160-166; южная сторона между Старо-Петергофским и Либавским
