Английский пр. 42-50;2016-09-28;42508039
Английский пр. 52;2016-09-28;42508354
Дерптский пер. 2;2016-09-28;
Рижский пр. 15-21;2016-09-28;
Рижский пр. 23-31;2016-09-28;42508441
Старо-Петергофский пр. 6;2016-09-28;42508520
Старо-Петергофский пр. 21-23;2016-09-28;42508732
Лермонтовский пр. 7-9;2016-09-29;42512318
Лермонтовский пр. 1-5;2016-09-29;42512523
Союза Печатников ул. 11-21;2016-09-29;42572414
Мастерская ул. 2-8;2016-09-29;42572470
Декабристов ул. 54-58;2016-09-29;42572621
Декабристов ул. 60-64;2016-09-29;42572686
Пряжки наб. 32-34;2016-09-29;42572717
Пряжки наб. 36-52;2016-09-29;
Пряжки наб. 54-66;2016-09-29;
Лоцманская ул. 2-8;2016-09-29;
Лоцманская ул. 10-16;2016-09-29;
Лоцманская ул. 18-20;2016-09-29;
Фонтанки наб. 160-166;2016-09-29;
Либавский пер. чет.;2016-09-29;42580533
Степана Разина ул. 6;2016-09-29;
Степана Разина ул. 8;2016-09-29;
Обводного наб. 219-231;2016-09-29;42580754
Старо-Петергофский пр. 8-14;2016-09-29;42581024
Курляндская ул. 16-38;2016-09-29;42581231
Курляндская ул. 11;2016-09-29;42581293
Дерптский пер. 7-15;2016-09-29;42581442
Дерптский пер. 1-5;2016-09-29;
Мясная ул. 2-14;2016-10-04;
Мясная ул. 16-22;2016-10-04;
Псковская ул. 1-11;2016-10-04;
Володи Ермака ул. 7-13;2016-10-04;42710307
Володи Ермака ул. 1-5;2016-10-04;42710873
Декабристов ул. 55-57;2016-10-04;42711332
Декабристов ул. 49-53;2016-10-04;42712060
Декабристов ул. 31-47;2016-10-04;42713976
Матвеева пер. 1-5;2016-10-04;43092784
Труда пл. 3;2016-10-04;42721706
Труда пл. 1;2016-10-04;
Труда пл. 2;2016-10-04;42722355
Галерная ул. 1-19;2016-10-04;42722657
Исаакиевская пл. 3-7;2016-10-04;
Исаакиевская пл. 9-11;2016-10-04;
Исаакиевская пл. 13;2016-10-04;
Мойки наб. 70-78;2016-10-04;42723069
Фонарный пер. 2-4;2016-10-04;
Фонарный пер. 6-8;2016-10-04;42723202
Фонарный пер. 10-16;2016-10-04;42723295
Фонарный пер. 18;2016-10-04;
Крюкова канала наб. 21-31;2016-10-07;
Фонтанки наб. 133-141;2016-10-07;
Фонтанки наб. 127-131;2016-10-07;43092918
Измайловский пр. 1-7;2016-10-07;43093060
Измайловский пр. 9;2016-10-07;43093112
Измайловский пр. 11;2016-10-07;43093155
Измайловский пр. 13;2016-10-07;
Измайловский пр. 15;2016-10-07;
Измайловский пр. 17;2016-10-07;
Измайловский пр. 19-21;2016-10-07;43093195
12 Красноармейская 1-25;2016-10-07;43093277
Дровяная ул. 10-14;2016-10-07;43093553
Обводного наб. 185-191;2016-10-07;
Циолковского ул. 10;2016-10-07;43093685
Циолковского ул. 8;2016-10-07;
Циолковского ул. 2;2016-10-07;
Фонтанки наб. 156-158;2016-10-07;
Фонтанки наб. 201;2016-10-07;
Грибоедова кан. наб. 154-178;2016-10-07;43094074
Римского-Корсакова пр. 65-71;2016-10-07;43094160
Мастерская ул. 9-11;2016-10-07;43094209
Мастерская ул. 1-7;2016-10-07;43094270
Декабристов ул. 46-52;2016-10-07;43094501
Декабристов ул. 36-42;2016-10-10;43094583
Декабристов ул. 28-32;2016-10-10;43094891
Декабристов ул. 28-32;2016-10-10;43153482
Львиный пер. 1-3;2016-10-10;
Грибоедова кан. наб. 92-96;2016-10-10;43154304
Грибоедова кан. наб. 84-90;2016-10-10;43154426
Грибоедова кан. наб. 82;2016-10-10;
Грибоедова кан. наб. 78-80;2016-10-10;
Грибоедова кан. наб. 64-76;2016-10-10;43155468
Грибоедова кан. наб. 56-62;2016-10-10;43155709
Грибоедова кан. наб. 71;2016-10-10;43156409
Грибоедова кан. наб. 73-77;2016-10-10;43156505
Вознесенский пр. 19-23;2016-10-10;43156879
Вознесенский пр. 13-17;2016-10-10;43188892
Декабристов ул. 1-7;2016-10-10;43189600
Декабристов ул. 9-15;2016-10-10;43190118
Декабристов ул. 17-25;2016-10-10;43190606
Декабристов ул. 27;2016-10-10;43190736
Декабристов ул. 29;2016-10-10;43190880
Лермонтовский пр. 8-10;2016-10-24;43191649
Лермонтовский пр. (10-12);2016-10-24;
Лермонтовский пр. 12-14;2016-10-24;
Лермонтовский пр. 16-30;2016-10-24;43192844
Лермонтовский пр. 32-34;2016-10-24;
Лермонтовский пр. 36-38;2016-10-24;43192969
13 Красноармейская 7-21;2016-10-24;43193158
13 Красноармейская 3-5;2016-10-24;
13 Красноармейская 1;2016-10-24;43193258
9 Красноармейская 2;2016-10-24;43193340
9 Красноармейская 4-10;2016-10-24;
Лермонтовский пр. 44;2016-10-24;43193523
Лермонтовский пр. 40-42;2016-10-24;43193737
Писарева ул. 1-5;2016-10-27;43220748
Мойки наб. 118-122;2016-10-27;43221253
Английский пр. 1-5;2016-10-27;
Английский пр. 7-19;2016-10-27;43225100
Английский пр. 21-27;2016-10-27;43225591
Английский пр. 29-33;2016-10-27;43573794
Английский пр. 35-39;2016-10-27;43592416
Английский пр. 41;2016-10-27;43592505
Английский пр. 43;2016-10-27;43592586
Английский пр. 45-51;2016-10-27;43592654
Фонтанки наб. 165-175;2016-10-27;
Фонтанки наб. 159-163;2016-10-27;
Фонтанки наб. 153-157;2016-10-27;43592753
Лермонтовский пр. 27-37;2016-10-27;43592966
Лермонтовский пр. 21-23;2016-10-27;43593127
Лермонтовский пр. 17-19;2016-10-27;43593304
Лермонтовский пр. 13-15;2016-10-27;43593848
Римского-Корсакова пр. 55-63;2016-10-27;43593942
Мастерская ул. 10-14;2016-10-27;43594047
Союза Печатников ул. 12-20;2016-10-27;43594258
Писарева ул. 2-20;2016-11-09;43687130
Английский пр. 2-26;2016-11-09;43687689
Английский пр. 28-34;2016-11-09;43688048
